position,mean_edit_A,mean_edit_C,mean_edit_G,mean_edit_T,top_base,contrast,strength
1,0.0053,0.005,0.0043,0.0052,A,0.001,weak/gap
2,0.0049,0.0045,0.0047,0.0059,T,0.0015,weak/gap
3,0.0049,0.0046,0.0048,0.0061,T,0.0015,weak/gap
4,0.0046,0.0048,0.0047,0.0063,T,0.0017,weak/gap
5,0.004,0.0048,0.0043,0.0073,T,0.0034,strong
6,0.0035,0.0055,0.0039,0.0074,T,0.0039,strong
7,0.0035,0.0061,0.0047,0.0058,C,0.0027,moderate
8,0.0061,0.0057,0.0047,0.0046,A,0.0015,weak/gap
9,0.0053,0.0058,0.0043,0.0054,C,0.0015,weak/gap
10,0.0044,0.0077,0.0039,0.0077,C,0.0038,strong
